zomb shot gunr soul demn spct|imp_ caco knig reve manc arac|Pain Barn Vile Cybr Mast
                             |                             |                        
31.3 44.8 13.1 13.9 20.4 10.9|87.1  5.9  1.8  1.8  2.4  4.4| 5.0  4.0  0.2  0.4  0.2
24.2 61.0 34.0  8.3 10.8 13.1|75.1  4.7  3.8  5.4  2.1  0.8| 0.7  2.6  0.8  0.0  0.0
 1.6 15.9 62.0  6.5  9.1 11.7|47.7 10.1 10.1 33.5 10.7  6.2| 5.2  6.5 10.1  0.3  0.3
                             |                             |                        
15.8 29.8 15.0 11.5 23.2 13.3|96.5 21.6  1.9  4.9  5.1  3.5| 2.9  0.8  1.2  0.4  0.2
33.0 50.7 34.7  7.3 10.9 11.4|54.6  4.9  6.4 13.0  6.1  4.5| 3.4  3.2  2.4  0.6  0.3
10.6 26.7 57.0  2.9 11.3  6.8|30.3  7.5  7.9 38.7 12.2  9.3| 5.0  6.6 10.2  4.3  0.5
                             |                             |                        
11.9 24.3 30.4 15.9 25.5 12.2|67.5 11.0 13.1 13.1  6.5  5.6| 5.6  1.6  2.3  0.2  0.7
 9.4 47.4 22.5 24.7 11.7  9.7|78.4  5.4  6.4 16.6  4.3  3.1| 1.8  3.4  2.5  0.3  0.2
 7.0 30.5 53.8  2.9 12.6  9.3|31.9 12.2 17.5 30.5 10.9  7.0| 7.4  8.4  4.7  0.6  0.2
